start;stop;parameter;depth;comments
20190811 10:00:00;20191024 12:30:00;All;All;Cable broken. No data
20191115 23:00:00;20191115 23:50:00;All;All;Sensor failure
20200108 09:00:00;20200417 16:30:00;All;All;No data
20200421 02:00:00;20200421 02:20:00;All;18;Sensor failure
20200430 00:50:00;20200430 23:20:00;All;63-78;Sensor failure
20200510 21:20:00;20200511 00:10:00;All;18;Sensor failure
20200514 02:50:00;20200514 03:30:00;All;18;Sensor failure
20200516 00:10:00;20200516 03:40:00;All;18;Sensor failure
20200517 04:00:00;20200517 06:00:00;All;18;Sensor failure
20200517 12:50:00;20200517 15:30:00;All;18;Sensor failure
20200517 22:30:00;20200518 00:10:00;All;18;Sensor failure
20200606 06:10:00;20200606 23:40:00;All;57-84;Sensor failure
20200607 00:00:00;20200607 00:00:00;All;60-84;Sensor failure
20200610 00:10:00;20200610 22:40:00;All;57-78;Sensor failure
20200611 05:10:00;20200611 05:10:00;All;57-78;Sensor failure
20200611 05:10:00;20200612 03:10:00;All;57-78;Sensor failure
20200612 05:10:00;20200612 23:40:00;All;57-78;Sensor failure
20200613 00:00:00;20200613 00:00:00;All;57-84;Sensor failure
20200614 00:40:00;20200614 23:40:00;All;57-78;Sensor failure
20200618 01:10:00;20200618 01:10:00;All;57-78;Sensor failure
20200623 21:00:00;20200623 23:30:00;All;57-84;Sensor failure
20200628 18:50:00;20200628 23:50:00;All;57-78;Sensor failure
20200702 00:15:00;20200703 01:10:00;All;All;Sensor failure
20200703 02:10:00;20200703 23:40:00;All;All;Sensor failure
20200704 00:40:00;20200704 20:10:00;All;60-78;Sensor failure
20200706 14:10:00;20200706 16:10:00;All;18-21;Sensor failure
20200719 03:10:00;20200719 15:20:00;All;57-84;Sensor failure
20200726 06:10:00;20200726 12:20:00;All;57-84;Sensor failure
20200802 09:40:00;20200802 19:10:00;All;57-84;Sensor failure
20200805 00:10:00;20200805 04:10:00;All;57-84;Sensor failure
20200806 11:40:00;20200806 23:40:00;All;57-84;Sensor failure
20200812 06:40:00;20200812 20:40:00;All;All;Sensor failure
20200819 12:20:00;20200819 15:00:00;All;45-57;Sensor failure
20200820 00:10:00;20200820 15:50:00;All;45-57;Sensor failure
20200825 03:40:00;20200825 18:40:00;All;63-84;Sensor failure
20200904 08:10:00;20200904 23:40:00;All;57-84;Sensor failure
20200907 00:40:00;20200907 23:10:00;All;57-84;Sensor failure
20200910 04:40:00;20200910 12:20:00;All;45-75;Sensor failure
20200919 04:10:00;20200919 19:40:00;All;63-84;Sensor failure
20200923 01:10:00;20200923 23:10:00;All;63-84;Sensor failure
20200925 04:10:00;20200925 15:10:00;All;45-78;Sensor failure
20201008 03:40:00;20201008 13:10:00;All;57-84;Sensor failure
20201017 21:10:00;20201017 23:40:00;All;57-84;Sensor failure
20201021 08:30:00;20201021 23:40:00;All;57-84;Sensor failure
20201026 07:30:00;20201026 23:30:00;All;57-84;Sensor failure
20201027 07:00:00;20201027 21:30:00;All;57-84;Sensor failure
20201028 01:40:00;20201030 23:50:00;All;57-84;Sensor failure
20201105 00:40:00;20201114 00:00:00;All;57-84;Sensor failure
20201116 00:40:00;20201121 18:40:00;All;57-84;Sensor failure
20201126 07:40:00;20201129 00:00:00;All;57-84;Sensor failure
20201130 00:10:00;20201204 16:40:00;All;57-84;Sensor failure
20201207 12:40:00;20201208 23:40:00;All;57-84;Sensor failure
20210108 19:10:00;20210414 00:10:00;All;All;Mooring issue
20210414 12:00:00;20210414 12:00:00;All;All;New temperature chain
20210414 08:40:00;20210414 11:40:00;All;All;Mooring issue
20210428 10:40:00;20210428 12:10:00;All;18;Sensor failure
20210514 05:10:00;20210514 05:20:00;All;18;Sensor failure
20210519 00:30:00;20210519 05:50:00;All;2.5;Sensor failure
20210609 00:00:00;20210614 01:00:00;All;0-24;Sensor failure
20210807 01:10:00;20210807 14:30:00;All;0-18;Sensor failure
20211001 03:00:00;20211001 12:30:00;All;0-18;Cable broken. No data
20211001 15:40:00;20211002 03:20:00;All;0-18;Cable broken. No data
20211002 06:50:00;20211002 11:10:00;All;0-18;Cable broken. No data
20211002 15:10:00;20211002 20:30:00;All;0-18;Cable broken. No data
20211003 01:10:00;20211003 08:10:00;All;0-18;Cable broken. No data
20211003 15:20:00;20211003 22:20:00;All;0-18;Cable broken. No data
20211004 05:00:00;20211005 00:00:00;All;0-18;Cable broken. No data
20211005 16:00:00;20211006 16:00:00;All;All;Sensor failure
20211009 07:10:00;20211119 00:20:00;All;0-24;Sensor failure. Upper chain repaired
20220601 02:20:00;20230105 09:40:00;All;6;Sensor failure
20220705 02:00:00;20221027 12:00:00;All;39;Sensor failure
20220705 12:00:00;20230105 09:30:00;All;51;Sensor failure
